_id,aha1,aha2,aha3,beforeBreakMovesets[0][0],beforeBreakMovesets[1][0],beforeBreakMovesets[2][0],beforeBreakMovesets[3][0],beforeBreakMovesets[4][0],beforeBreakMovesets[5][0],beforeBreakMovesets[6][0],beforeBreakMovesets[7][0],beforeBreakMovesets[8][0],beforeBreakMovesets[9][0],beforeBreakMovesets[10][0],beforeBreakMovesets[11][0],beforeBreakMovesets[12][0],beforeBreakMovesets[13][0],beforeBreakMovesets[14][0],beforeBreakMovesets[15][0],beforeBreakMovesets[16][0],beforeBreakMovesets[17][0],beforeBreakMovesets[18][0],beforeBreakMovesets[19][0],beforeBreakMovesets[20][0],beforeBreakMovesets[21][0],beforeBreakMovesets[22][0],beforeBreakMovesets[23][0],beforeBreakMovesets[24][0],beforeBreakMovesets[25][0],beforeBreakMovesets[26][0],beforeBreakMovesets[27][0],beforeBreakMovesets[28][0],beforeBreakMovesets[29][0],beforeBreakMovesets[30][0],beforeBreakMovesets[31][0],beforeBreakMovesets[32][0],beforeBreakMovesets[33][0],beforeBreakMovesets[34][0],beforeBreakMovesets[35][0],beforeBreakMovesets[36][0],beforeBreakMovesets[37][0],beforeBreakMovesets[38][0],beforeBreakMovesets[39][0],beforeBreakMovesets[40][0],beforeBreakMovesets[41][0],beforeBreakMovesets[42][0],beforeBreakMovesets[43][0],beforeBreakMovesets[44][0],beforeBreakMovesets[45][0],beforeBreakMovesets[46][0],beforeBreakMovesets[47][0],beforeBreakMovesets[48][0],beforeBreakMovesets[49][0],beforeBreakMovesets[50][0],beforeBreakMovesets[51][0],beforeBreakMovesets[52][0],beforeBreakMovesets[53][0],beforeBreakMovesets[54][0],beforeBreakMovesets[55][0],beforeBreakMovesets[56][0],beforeBreakMovesets[57][0],beforeBreakMovesets[58][0],completedEarly,completedLevel,condition,correctValue,difficultyValue,durationAfterBreak,durationBeforeBreak,durationBreak,durationToBeatGame,idleTime,incorrectValue,levelNumber,nm1,nm2,nm3,playerId,prolificPID,r1b,r2b,r3b,scrollCount,sessionID,stuckValue,studyID,afterBreakMovesets[0][0],afterBreakMovesets[1][0],afterBreakMovesets[2][0],afterBreakMovesets[3][0],afterBreakMovesets[4][0],afterBreakMovesets[5][0],afterBreakMovesets[6][0],afterBreakMovesets[7][0],afterBreakMovesets[8][0],afterBreakMovesets[9][0],afterBreakMovesets[10][0],afterBreakMovesets[11][0],afterBreakMovesets[12][0],afterBreakMovesets[13][0],afterBreakMovesets[14][0],afterBreakMovesets[15][0],afterBreakMovesets[16][0],afterBreakMovesets[17][0],afterBreakMovesets[18][0],afterBreakMovesets[19][0],afterBreakMovesets[20][0],afterBreakMovesets[21][0],afterBreakMovesets[22][0],afterBreakMovesets[23][0],afterBreakMovesets[24][0],afterBreakMovesets[25][0],afterBreakMovesets[26][0],afterBreakMovesets[27][0],afterBreakMovesets[28][0],afterBreakMovesets[29][0],afterBreakMovesets[30][0],afterBreakMovesets[31][0],e1,e2,e3,f1,f2,f3,mw1,mw2,mw3,pw,r1,r2,r3,ra
6605d6191b35cda2746f5c81,6,5,6,rrddlludrruulldluu,luurdldr,rrddlludrruu,udrrddlludrruullulduuurdddrrddllu,udrrddlludrruulluluurdddrrddlluluuddrdrruulluldruuuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,null,null,null,70.30,27,,5,,,,1711658151977223927,5fe45e3b520dd11baee55be3,,,,,6605d47f7dd95b7df5b04096,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605d1911b35cda2746f5c79,1,2,2,luurdldrr,rrddlludrruullulduuurdddrrddlludrruull,luurdldrd,rrddlludrruulldluuurddrrddlludrruulluld,rrddlludrruulldluu,luurdldrrl,rrddlludrruullulduuurdddrrddlludrruul,rrddlludrruulldluudruu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,5,140.93,149.72,236.62,527.26,157,,5,5,5,5,171165683517420817,5ca56f36184b730001673f2d,3,4,4,27,6605cf7739c062e9672d1d2c,5,65f423754adf51958397327d,rrddlludrruulluluurddddur,rrddlludrruulluluurddduldrrrddlludrruull,rrddlludrruulldluu,uuddrrddl,luurdld,luurdldrrl,rrddlludrruulluddluu,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,3,6,5,5,5,1,3,3,2,2
6605da401b35cda2746f5c89,1,1,1,rrddlludrruulldluuur,rrddlludrruulldluuu,rrddlludrruullulduuurdddrrddlluu,luurdldr,rrddlludrruulldluu,rrddllulurluurdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,7,139.95,125.28,11.92,277.15,155,,5,,,,1711658588410807589,611227693042dd3e6d8e0849,3,2,2,,6605d6417dd95b7df5b0413a,7,65f423754adf51958397327d,udrrddlludrruullulduuurdddrrddlludr,rrddllul,udrrddlluu,rrddllulurddrruulldluu,rrddlludrruull,luurdldrdlurrl,rrddlludrruullulduuurdddrrddlluur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605dd801b35cda2746f5ca5,6,6,5,rrddlludrruullulduuur,rrddlludrruulldluu,luurdldrr,rrddlludrruulldluu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,7,180.04,128.82,19.53,328.39,241,,5,,,,1711659898194367532,6108808f4beeb2f0b8738e95,4,5,5,,6605db69d618814a222b00a8,5,65f423754adf51958397327d,duluurdldr,d,rrddlludrruulldluu,udrrddlludrruulluluurddd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605ddb91b35cda2746f5ca7,2,2,2,rrddlludrruulldluu,luurdldrr,rrddllulurldrdrruulluluurdddd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,5,125.10,145.10,259.13,529.32,212,,5,2,2,2,1711659641500257374,5e8eab0540aaf41584d9b1b9,2,3,2,56,6605da6c5ed29149a59fe4b4,3,65f423754adf51958397327d,luurdldr,rrddllulurddrruulldluu,luurdldrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,2,2,6,6,6,2,2,2,2,2
6605dff01b35cda2746f5cbe,3,5,5,rrddlludrruulldluuurdlddrdrruullulduuru,luurdldrdurld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,7,158.52,126.25,350.28,635.05,230,,5,5,5,4,1711659673883304605,6514a8e7e21c6ff0317fe0b5,3,3,3,0,6605d9c2ca32d5bbcfabb3bd,7,65f423754adf51958397327d,rrddlludrruullulduuurddldrddrruull,rrddlludrruullrrddlluluuurd,luurdld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,6,6,6,7,2,2,1,3,3,4,4
6605dd181b35cda2746f5ca2,6,6,6,udrrddlludrruullulduuurdddrrddlludrruull,rrddlludrruulldluuur,luurdldrrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,2,141.15,158.74,28.59,328.49,230,,5,,,,1711659606852279580,63f6f02fe8066bd918051664,5,5,5,,6605da487dd95b7df5b04301,2,65f423754adf51958397327d,duuulu,luurdldrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e1301b35cda2746f5cd3,3,5,3,rrddlludrruulluuldduuu,uu,udrrddlludrruullulduuurdddrrddlludrruulld,uluurdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,3,120.32,143.06,21.06,284.44,196,,5,,,,171166081665970526,5ea37c11733b42302b54b64c,3,4,4,,6605df0bca32d5bbcfabb4f8,3,65f423754adf51958397327d,dluuurd,rrddllulurrlluurd,rrddllulurluurdd,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e2421b35cda2746f5cfd,5,6,7,rrddlludrruullulduuurdddrrddlludrruul,rrddlludrruulldluu,luurdldr,rrddlludrruulluluurdddrrddlluluuddrdrruullulduruuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,null,null,null,136.35,114,,5,,,,1711661423592461201,6489f5f10dc480fe353ca487,,,,,6605dc12c29b20d759037b34,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e2a51b35cda2746f5d07,4,5,5,rrddlludrruullulduuurdddrrddlludrruullul,uulu,luurd,rrddlludrruulldluudruu,rrddlludrruulluldu,rrddlludrruulluluurddduldrrrddlluuuu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,19,6,135.36,175.60,274.32,585.28,187,0,5,6,5,6,1711661104582933356,5eca9d518197ce5f4e63cc68,3,2,4,,6605e0210ac018fac2b2325c,6,65f423754adf51958397327d,uldrrrddlludrruulldluruulu,rrddlludrruulluluurdddu,rrddlludrruulluluurddduldrrrddlludrruullul,luurdldrrld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,6,4,5,5,5,6,1,2,2,3,4
